ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
ABE,"Allentown/Bethlehem/Easton, PA",IND,"Indianapolis, IN"
ABE,"Allentown/Bethlehem/Easton, PA",MEM,"Memphis, TN"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",CLT,"Charlotte, NC"
ABE,"Allentown/Bethlehem/Easton, PA",IAD,"Washington, DC"
ABE,"Allentown/Bethlehem/Easton, PA",DTW,"Detroit, MI"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABE,"Allentown/Bethlehem/Easton, PA",ORD,"Chicago, IL"
ABI,"Abilene, TX",IAH,"Houston, TX"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",SJT,"San Angelo, TX"
ABI,"Abilene, TX",LBB,"Lubbock, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABI,"Abilene, TX",DFW,"Dallas/Fort Worth, TX"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",SHG,"Shungnak, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",WLK,"Selawik, AK"
ABL,"Ambler, AK",OBU,"Kobuk, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",OTZ,"Kotzebue, AK"
ABL,"Ambler, AK",RDB,"Red Dog, AK"
ABL,"Ambler, AK",RLU,"Bornite/Ruby Creek, AK"
ABL,"Ambler, AK",ORV,"Noorvik, AK"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",ONT,"Ontario, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SDF,"Louisville, KY"
ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",SVC,"Silver City/Hurley, NM"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",ABQ,"Albuquerque, NM"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",SLC,"Salt Lake City, UT"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",SFO,"San Francisco, CA"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",TUS,"Tucson, AZ"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",DRO,"Durango, CO"
ABQ,"Albuquerque, NM",FMN,"Farmington, NM"
ABQ,"Albuquerque, NM",LBB,"Lubbock, TX"
ABQ,"Albuquerque, NM",MEM,"Memphis, TN"
ABQ,"Albuquerque, NM",BUF,"Buffalo, NY"
ABQ,"Albuquerque, NM",JFK,"New York, NY"
ABQ,"Albuquerque, NM",CNM,"Carlsbad, NM"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",OAK,"Oakland, CA"
ABQ,"Albuquerque, NM",BWI,"Baltimore, MD"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",SAT,"San Antonio, TX"
ABQ,"Albuquerque, NM",DEN,"Denver, CO"
ABQ,"Albuquerque, NM",LAS,"Las Vegas, NV"
ABQ,"Albuquerque, NM",SAN,"San Diego, CA"
ABQ,"Albuquerque, NM",DAL,"Dallas, TX"
ABQ,"Albuquerque, NM",HOU,"Houston, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",AUS,"Austin, TX"
ABQ,"Albuquerque, NM",MDW,"Chicago, IL"
ABQ,"Albuquerque, NM",MCI,"Kansas City, MO"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ"
ABQ,"Albuquerque, NM",ORD,"Chicago, IL"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",DFW,"Dallas/Fort Worth, TX"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",SEA,"Seattle, WA"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABQ,"Albuquerque, NM",AMA,"Amarillo, TX"
ABQ,"Albuquerque, NM",PDX,"Portland, OR"
ABQ,"Albuquerque, NM",ATL,"Atlanta, GA"
ABQ,"Albuquerque, NM",IAH,"Houston, TX"
ABR,"Aberdeen, SD",MSP,"Minneapolis, MN"
ABR,"Aberdeen, SD",MSP,"Minneapolis, MN"
ABR,"Aberdeen, SD",PIR,"Pierre, SD"
ABR,"Aberdeen, SD",FSD,"Sioux Falls, SD"
ABY,"Albany, GA",ATL,"Atlanta, GA"
ABY,"Albany, GA",CAE,"Columbia, SC"
ABY,"Albany, GA",SDF,"Louisville, KY"
ABY,"Albany, GA",MCO,"Orlando, FL"
ABY,"Albany, GA",PBI,"West Palm Beach/Palm Beach, FL"
ABY,"Albany, GA",MSY,"New Orleans, LA"
ABY,"Albany, GA",SDF,"Louisville, KY"
ABY,"Albany, GA",PNS,"Pensacola, FL"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",TEB,"Teterboro, NJ"
ACK,"Nantucket, MA",PVD,"Providence, RI"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",EWB,"New Bedford/Fall River, MA"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACK,"Nantucket, MA",HPN,"White Plains, NY"
ACK,"Nantucket, MA",BOS,"Boston, MA"
ACK,"Nantucket, MA",MVY,"Martha's Vineyard, MA"
ACK,"Nantucket, MA",JFK,"New York, NY"
ACK,"Nantucket, MA",HYA,"Hyannis, MA"
ACT,"Waco, TX",FOE,"Topeka, KS"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACT,"Waco, TX",IAH,"Houston, TX"
ACT,"Waco, TX",MHK,"Manhattan/Ft. Riley, KS"
ACT,"Waco, TX",FOE,"Topeka, KS"
ACT,"Waco, TX",IAH,"Houston, TX"
ACT,"Waco, TX",MHK,"Manhattan/Ft. Riley, KS"
ACT,"Waco, TX",LBB,"Lubbock, TX"
ACT,"Waco, TX",SWO,"Stillwater, OK"
ACT,"Waco, TX",DSM,"Des Moines, IA"
ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX"
ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",SFO,"San Francisco, CA"
ACV,"Arcata/Eureka, CA",SMF,"Sacramento, CA"
ACV,"Arcata/Eureka, CA",UKI,"Ukiah, CA"
ACY,"Atlantic City, NJ",FRG,"East Farmingdale, NY"
ACY,"Atlantic City, NJ",SWF,"Newburgh/Poughkeepsie, NY"
ACY,"Atlantic City, NJ",BUF,"Buffalo, NY"
ACY,"Atlantic City, NJ",PIT,"Pittsburgh, PA"
ACY,"Atlantic City, NJ",ROC,"Rochester, NY"
ACY,"Atlantic City, NJ",GPT,"Gulfport/Biloxi, MS"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",PBI,"West Palm Beach/Palm Beach, FL"
ACY,"Atlantic City, NJ",TPA,"Tampa, FL"
ACY,"Atlantic City, NJ",MYR,"Myrtle Beach, SC"
ACY,"Atlantic City, NJ",FLL,"Fort Lauderdale, FL"
ACY,"Atlantic City, NJ",RSW,"Fort Myers, FL"
ACY,"Atlantic City, NJ",MCO,"Orlando, FL"
ACY,"Atlantic City, NJ",PBI,"West Palm Beach/Palm Beach, FL"
ADK,"Adak Island, AK",CDB,"Cold Bay, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADK,"Adak Island, AK",CDB,"Cold Bay, AK"
ADK,"Adak Island, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",ADQ,"Kodiak, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",KLN,"Larsen Bay, AK"
ADQ,"Kodiak, AK",KOZ,"Ouzinkie, AK"
ADQ,"Kodiak, AK",KYK,"Karluk, AK"
ADQ,"Kodiak, AK",NNK,"Naknek, AK"
ADQ,"Kodiak, AK",OLH,"Old Harbor, AK"
ADQ,"Kodiak, AK",ORI,"Port Lions, AK"
ADQ,"Kodiak, AK",ADQ,"Kodiak, AK"
ADQ,"Kodiak, AK",AKK,"Akhiok, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",SDP,"Sandpoint, AK"
ADQ,"Kodiak, AK",DUT,"Unalaska, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",ANC,"Anchorage, AK"
ADQ,"Kodiak, AK",SEA,"Seattle, WA"
ADS,"Dallas, TX",HOU,"Houston, TX"
ADS,"Dallas, TX",VNY,"Van Nuys, CA"
ADS,"Dallas, TX",SCE,"State College, PA"
ADS,"Dallas, TX",CLL,"College Station/Bryan, TX"
ADS,"Dallas, TX",ELP,"El Paso, TX"
ADS,"Dallas, TX",BFI,"Seattle, WA"
ADS,"Dallas, TX",LAF,"Lafayette, IN"
ADS,"Dallas, TX",MCI,"Kansas City, MO"
ADW,"Camp Springs, MD",IAD,"Washington, DC"
ADW,"Camp Springs, MD",IAD,"Washington, DC"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",BTT,"Bettles, AK"
AET,"Allakaket, AK",HUS,"Hughes, AK"
AET,"Allakaket, AK",BRW,"Barrow, AK"
AET,"Allakaket, AK",SCC,"Deadhorse, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",BTT,"Bettles, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",HUS,"Hughes, AK"
AET,"Allakaket, AK",FAI,"Fairbanks, AK"
AET,"Allakaket, AK",HUS,"Hughes, AK"
AEX,"Alexandria, LA",ATL,"Atlanta, GA"
AEX,"Alexandria, LA",ATL,"Atlanta, GA"
AEX,"Alexandria, LA",IAH,"Houston, TX"
AEX,"Alexandria, LA",SAT,"San Antonio, TX"
AEX,"Alexandria, LA",BRO,"Brownsville, TX"
AEX,"Alexandria, LA",AZA,"Phoenix, AZ"
AEX,"Alexandria, LA",GSO,"Greensboro/High Point, NC"
AEX,"Alexandria, LA",BRO,"Brownsville, TX"
AEX,"Alexandria, LA",BTR,"Baton Rouge, LA"
AEX,"Alexandria, LA",AZA,"Phoenix, AZ"
AEX,"Alexandria, LA",MIA,"Miami, FL"
AEX,"Alexandria, LA",SAT,"San Antonio, TX"
AEX,"Alexandria, LA",AEX,"Alexandria, LA"
AEX,"Alexandria, LA",CSG,"Columbus, GA"
AEX,"Alexandria, LA",BRO,"Brownsville, TX"
AEX,"Alexandria, LA",MDT,"Harrisburg, PA"
AEX,"Alexandria, LA",AZA,"Phoenix, AZ"
AEX,"Alexandria, LA",MSP,"Minneapolis, MN"
AEX,"Alexandria, LA",TCL,"Tuscaloosa, AL"
AEX,"Alexandria, LA",BED,"Bedford, MA"
AEX,"Alexandria, LA",DFW,"Dallas/Fort Worth, TX"
AEX,"Alexandria, LA",IAD,"Washington, DC"
AEX,"Alexandria, LA",MSN,"Madison, WI"
AEX,"Alexandria, LA",IAH,"Houston, TX"
AEX,"Alexandria, LA",GRK,"Killeen, TX"
AEX,"Alexandria, LA",DFW,"Dallas/Fort Worth, TX"
AFW,"Dallas/Fort Worth, TX",ILN,"Wilmington, OH"
AFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA"
AFW,"Dallas/Fort Worth, TX",JFK,"New York, NY"
AFW,"Dallas/Fort Worth, TX",CVG,"Cincinnati, OH"
AFW,"Dallas/Fort Worth, TX",ABE,"Allentown/Bethlehem/Easton, PA"
AFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA"
AFW,"Dallas/Fort Worth, TX",ILN,"Wilmington, OH"
AFW,"Dallas/Fort Worth, TX",PHX,"Phoenix, AZ"
AFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA"
AFW,"Dallas/Fort Worth, TX",JFK,"New York, NY"
AFW,"Dallas/Fort Worth, TX",LBB,"Lubbock, TX"
AFW,"Dallas/Fort Worth, TX",MAF,"Midland/Odessa, TX"
AFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK"
AFW,"Dallas/Fort Worth, TX",SHV,"Shreveport, LA"
AFW,"Dallas/Fort Worth, TX",LBB,"Lubbock, TX"
AFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK"
AFW,"Dallas/Fort Worth, TX",MAF,"Midland/Odessa, TX"
AFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK"
AFW,"Dallas/Fort Worth, TX",ONT,"Ontario, CA"
AFW,"Dallas/Fort Worth, TX",LAL,"Lakeland, FL"
AFW,"Dallas/Fort Worth, TX",MSY,"New Orleans, LA"
AFW,"Dallas/Fort Worth, TX",DFW,"Dallas/Fort Worth, TX"
AFW,"Dallas/Fort Worth, TX",RIC,"Richmond, VA"
AFW,"Dallas/Fort Worth, TX",ORD,"Chicago, IL"
AFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX"
AFW,"Dallas/Fort Worth, TX",LBB,"Lubbock, TX"
AFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX"
AFW,"Dallas/Fort Worth, TX",ELP,"El Paso, TX"
AFW,"Dallas/Fort Worth, TX",GSO,"Greensboro/High Point, NC"
AFW,"Dallas/Fort Worth, TX",TPA,"Tampa, FL"
AFW,"Dallas/Fort Worth, TX",SLC,"Salt Lake City, UT"
AFW,"Dallas/Fort Worth, TX",SAN,"San Diego, CA"
AFW,"Dallas/Fort Worth, TX",MSP,"Minneapolis, MN"
AFW,"Dallas/Fort Worth, TX",MSY,"New Orleans, LA"
AFW,"Dallas/Fort Worth, TX",TUL,"Tulsa, OK"
AFW,"Dallas/Fort Worth, TX",MCI,"Kansas City, MO"
AFW,"Dallas/Fort Worth, TX",SAT,"San Antonio, TX"
AFW,"Dallas/Fort Worth, TX",ELP,"El Paso, TX"
AFW,"Dallas/Fort Worth, TX",SMF,"Sacramento, CA"
AFW,"Dallas/Fort Worth, TX",DEN,"Denver, CO"
AFW,"Dallas/Fort Worth, TX",OAK,"Oakland, CA"
AFW,"Dallas/Fort Worth, TX",MEM,"Memphis, TN"
AFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA"
AFW,"Dallas/Fort Worth, TX",SJC,"San Jose, CA"
AFW,"Dallas/Fort Worth, TX",BUR,"Burbank, CA"
AFW,"Dallas/Fort Worth, TX",SEA,"Seattle, WA"
AFW,"Dallas/Fort Worth, TX",LAX,"Los Angeles, CA"
AFW,"Dallas/Fort Worth, TX",ANC,"Anchorage, AK"
AFW,"Dallas/Fort Worth, TX",FLL,"Fort Lauderdale, FL"
AFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX"
AFW,"Dallas/Fort Worth, TX",AEX,"Alexandria, LA"
AFW,"Dallas/Fort Worth, TX",IAH,"Houston, TX"
AFW,"Dallas/Fort Worth, TX",SFO,"San Francisco, CA"
AFW,"Dallas/Fort Worth, TX",SBN,"South Bend, IN"
AGC,"Pittsburgh, PA",APA,"Denver, CO"
AGC,"Pittsburgh, PA",STL,"St. Louis, MO"
AGC,"Pittsburgh, PA",HOU,"Houston, TX"
AGC,"Pittsburgh, PA",LRD,"Laredo, TX"
AGN,"Angoon, AK",JNU,"Juneau, AK"
AGN,"Angoon, AK",JNU,"Juneau, AK"
AGN,"Angoon, AK",TKE,"Tenakee, AK"
AGN,"Angoon, AK",JNU,"Juneau, AK"
AGS,"Augusta, GA",CLT,"Charlotte, NC"
AGS,"Augusta, GA",CLT,"Charlotte, NC"
AGS,"Augusta, GA",RIC,"Richmond, VA"
AGS,"Augusta, GA",CLT,"Charlotte, NC"
AGS,"Augusta, GA",ATL,"Atlanta, GA"
AGS,"Augusta, GA",MCN,"Macon, GA"
AGS,"Augusta, GA",DFW,"Dallas/Fort Worth, TX"
AGS,"Augusta, GA",GPT,"Gulfport/Biloxi, MS"
AHN,"Athens, GA",GNV,"Gainesville, FL"
AHN,"Athens, GA",LEX,"Lexington, KY"
AHN,"Athens, GA",BTR,"Baton Rouge, LA"
AHN,"Athens, GA",ATL,"Atlanta, GA"
AIA,"Alliance, NE",DEN,"Denver, CO"
AIN,"Wainwright, AK",PHO,"Point Hope, AK"
AIN,"Wainwright, AK",ATK,"Atqasuk, AK"
AIN,"Wainwright, AK",BRW,"Barrow, AK"
AIN,"Wainwright, AK",SCC,"Deadhorse, AK"
AIN,"Wainwright, AK",BTT,"Bettles, AK"
AIN,"Wainwright, AK",PIZ,"Point Lay, AK"
AKB,"Atka, AK",DUT,"Unalaska, AK"
AKI,"Akiak, AK",ANI,"Aniak, AK"
AKI,"Akiak, AK",TLT,"Tuluksak, AK"
AKI,"Akiak, AK",BET,"Bethel, AK"
AKI,"Akiak, AK",TLT,"Tuluksak, AK"
AKI,"Akiak, AK",ANC,"Anchorage, AK"
AKI,"Akiak, AK",BET,"Bethel, AK"
AKI,"Akiak, AK",KWT,"Kwethluk, AK"
AKI,"Akiak, AK",TLT,"Tuluksak, AK"
AKI,"Akiak, AK",KKI,"Akiachak, AK"
AKI,"Akiak, AK",BET,"Bethel, AK"
AKI,"Akiak, AK",KKI,"Akiachak, AK"
AKK,"Akhiok, AK",OLH,"Old Harbor, AK"
AKK,"Akhiok, AK",ADQ,"Kodiak, AK"
AKK,"Akhiok, AK",KLN,"Larsen Bay, AK"
AKK,"Akhiok, AK",KYK,"Karluk, AK"
AKK,"Akhiok, AK",OLH,"Old Harbor, AK"
AKK,"Akhiok, AK",ADQ,"Kodiak, AK"
AKK,"Akhiok, AK",ADQ,"Kodiak, AK"
AKK,"Akhiok, AK",PTH,"Port Heiden, AK"
AKN,"King Salmon, AK",HOM,"Homer, AK"
AKN,"King Salmon, AK",PTH,"Port Heiden, AK"
AKN,"King Salmon, AK",ANC,"Anchorage, AK"
AKN,"King Salmon, AK",ILI,"Iliamna, AK"
AKN,"King Salmon, AK",ANC,"Anchorage, AK"
AKN,"King Salmon, AK",CDB,"Cold Bay, AK"
AKN,"King Salmon, AK",DUT,"Unalaska, AK"
AKN,"King Salmon, AK",DUT,"Unalaska, AK"
AKN,"King Salmon, AK",CDB,"Cold Bay, AK"
AKN,"King Salmon, AK",DUT,"Unalaska, AK"
AKN,"King Salmon, AK",ANC,"Anchorage, AK"
AKN,"King Salmon, AK",KLL,"Levelock, AK"
AKN,"King Salmon, AK",PIP,"Pilot Point, AK"
AKN,"King Salmon, AK",UGS,"Ugashik, AK"
AKN,"King Salmon, AK",WSN,"South Naknek, AK"
AKN,"King Salmon, AK",KNW,"New Stuyahok, AK"
AKN,"King Salmon, AK",AKN,"King Salmon, AK"
AKN,"King Salmon, AK",DLG,"Dillingham, AK"
AKN,"King Salmon, AK",KCG,"Chignik Bay, AK"
AKN,"King Salmon, AK",KCL,"Chignik Lagoon, AK"
AKN,"King Salmon, AK",KCQ,"Chignik, AK"
AKN,"King Salmon, AK",KLL,"Levelock, AK"
AKN,"King Salmon, AK",KPV,"Perryville, AK"
AKN,"King Salmon, AK",PIP,"Pilot Point, AK"
AKN,"King Salmon, AK",PTH,"Port Heiden, AK"
AKN,"King Salmon, AK",UGS,"Ugashik, AK"
AKN,"King Salmon, AK",WSN,"South Naknek, AK"
AKN,"King Salmon, AK",ENA,"Kenai, AK"
AKN,"King Salmon, AK",DLG,"Dillingham, AK"
AKN,"King Salmon, AK",KNW,"New Stuyahok, AK"
AKN,"King Salmon, AK",BET,"Bethel, AK"
AKN,"King Salmon, AK",ANC,"Anchorage, AK"
AKN,"King Salmon, AK",DLG,"Dillingham, AK"
AKN,"King Salmon, AK",IGG,"Igiugig, AK"
AKN,"King Salmon, AK",EGX,"Egegik, AK"
AKN,"King Salmon, AK",EGX,"Egegik, AK"
AKN,"King Salmon, AK",DLG,"Dillingham, AK"
AKN,"King Salmon, AK",IGG,"Igiugig, AK"
AKN,"King Salmon, AK",EGX,"Egegik, AK"
AKN,"King Salmon, AK",ILI,"Iliamna, AK"
AKN,"King Salmon, AK",ILI,"Iliamna, AK"
AKN,"King Salmon, AK",KPV,"Perryville, AK"
AKN,"King Salmon, AK",PIP,"Pilot Point, AK"
AKN,"King Salmon, AK",ANC,"Anchorage, AK"
